# densidade, pressao, nb, mu
2.97414525743031E+016, 1.87389525858643E+037, 4.04999999999862E+040, 0.0004626902
2.96291265173416E+016, 1.86607072735573E+037, 4.04100000000638E+040, 0.0004617844
2.95169941519392E+016, 1.85826196907958E+037, 4.03200000000117E+040, 0.0004608785
2.94050555187905E+016, 1.85046898501153E+037, 4.02300000000195E+040, 0.0004599724
2.92933106586334E+016, 1.84269177640663E+037, 4.01400000000197E+040, 0.0004590662
2.91817596123575E+016, 1.83493034452466E+037, 4.00499999999461E+040, 0.0004581599
2.90704024211535E+016, 1.82718469063454E+037, 3.99600000000888E+040, 0.0004572534
2.89592391260344E+016, 1.81945481600018E+037, 3.98699999999439E+040, 0.0004563468
2.88482697685681E+016, 1.81174072190212E+037, 3.977999999997E+040, 0.0004554401
2.87374943901939E+016, 1.80404240961734E+037, 3.96899999999437E+040, 0.0004545332
2.86269130326409E+016, 1.79635988043165E+037, 3.95999999999635E+040, 0.0004536262
2.85165257377544E+016, 1.78869313563452E+037, 3.95100000000304E+040, 0.0004527191
2.84063325474381E+016, 1.78104217651742E+037, 3.94199999999048E+040, 0.0004518118
2.82963335040101E+016, 1.77340700438429E+037, 3.93299999999632E+040, 0.0004509044
2.8186528649687E+016, 1.76578762053632E+037, 3.92399999999523E+040, 0.0004499968
2.80769180269787E+016, 1.75818402628366E+037, 3.91499999999388E+040, 0.0004490892
2.79675016785662E+016, 1.75059622294174E+037, 3.9060000000011E+040, 0.0004481813
2.78582796471927E+016, 1.74302421182808E+037, 3.89700000000152E+040, 0.0004472733
2.774925197587E+016, 1.73546799426843E+037, 3.88800000000508E+040, 0.0004463652
2.76404187077032E+016, 1.72792757159153E+037, 3.87900000000436E+040, 0.000445457
2.75317798859856E+016, 1.72040294513196E+037, 3.8699999999975E+040, 0.0004445486
2.74233355542545E+016, 1.71289411623176E+037, 3.86100000000122E+040, 0.00044364
2.731508575607E+016, 1.70540108623394E+037, 3.85199999999717E+040, 0.0004427313
2.72070305352878E+016, 1.69792385649048E+037, 3.84299999999772E+040, 0.0004418225
2.70991699358957E+016, 1.69046242835754E+037, 3.83400000000606E+040, 0.0004409135
2.69915040019478E+016, 1.68301680319355E+037, 3.82499999999989E+040, 0.0004400044
2.68840327778634E+016, 1.67558698236797E+037, 3.81600000000398E+040, 0.0004390951
2.67767563080624E+016, 1.66817296725057E+037, 3.80700000000108E+040, 0.0004381857
2.66696746372369E+016, 1.66077475921942E+037, 3.79799999999769E+040, 0.0004372761
2.65627878102759E+016, 1.65339235965873E+037, 3.78900000000581E+040, 0.0004363664
2.64560958720761E+016, 1.64602576995319E+037, 3.77999999999604E+040, 0.0004354566
2.63495988679669E+016, 1.63867499150057E+037, 3.77100000000147E+040, 0.0004345465
2.62432968432255E+016, 1.63134002569738E+037, 3.76199999999863E+040, 0.0004336364
2.61371898434392E+016, 1.6240208739496E+037, 3.75299999999608E+040, 0.0004327261
2.60312779143815E+016, 1.61671753766899E+037, 3.74400000000356E+040, 0.0004318156
2.59255611019022E+016, 1.60943001826985E+037, 3.73500000000492E+040, 0.000430905
2.58200394520876E+016, 1.60215831717381E+037, 3.72599999999711E+040, 0.0004299942
2.57147130112837E+016, 1.5949024358104E+037, 3.71699999999551E+040, 0.0004290832
2.56095818259548E+016, 1.58766237561301E+037, 3.70799999999896E+040, 0.0004281722
2.55046459427437E+016, 1.58043813802057E+037, 3.69900000000435E+040, 0.0004272609
2.53999054084588E+016, 1.57322972447724E+037, 3.69000000000299E+040, 0.0004263495
2.52953602701498E+016, 1.56603713643459E+037, 3.680999999999E+040, 0.000425438
2.51910105750748E+016, 1.55886037535066E+037, 3.67200000000098E+040, 0.0004245262
2.5086856370637E+016, 1.5516994426881E+037, 3.66300000000599E+040, 0.0004236144
2.49828977043897E+016, 1.54455433991433E+037, 3.65400000000061E+040, 0.0004227023
2.48791346241931E+016, 1.53742506850611E+037, 3.64499999999913E+040, 0.0004217901
2.47755671780551E+016, 1.53031162994492E+037, 3.63600000000416E+040, 0.0004208778
2.46721954140884E+016, 1.52321402571565E+037, 3.6269999999955E+040, 0.0004199653
2.45690193807809E+016, 1.51613225731457E+037, 3.61799999999678E+040, 0.0004190526
2.4466039126666E+016, 1.50906632623968E+037, 3.60899999999362E+040, 0.0004181397
2.43632547005853E+016, 1.50201623399838E+037, 3.59999999999824E+040, 0.0004172267
2.42606661515041E+016, 1.49498198210206E+037, 3.59100000000343E+040, 0.0004163136
2.41582735285596E+016, 1.48796357206752E+037, 3.58199999999418E+040, 0.0004154002
2.40560768812826E+016, 1.48096100542354E+037, 3.57300000000243E+040, 0.0004144867
2.39540762591544E+016, 1.47397428369778E+037, 3.56399999999659E+040, 0.000413573
2.38522717121186E+016, 1.46700340843188E+037, 3.55500000000848E+040, 0.0004126592
2.37506632900499E+016, 1.46004838116583E+037, 3.54600000000074E+040, 0.0004117452
2.36492510432894E+016, 1.45310920345369E+037, 3.53699999999985E+040, 0.000410831
2.35480350222377E+016, 1.44618587685169E+037, 3.52799999999439E+040, 0.0004099166
2.34470152776014E+016, 1.43927840292541E+037, 3.51899999999607E+040, 0.0004090021
2.33461918602601E+016, 1.43238678324592E+037, 3.5100000000063E+040, 0.0004080874
2.32455648211963E+016, 1.4255110193877E+037, 3.50099999999818E+040, 0.0004071725
2.31451342118036E+016, 1.41865111293771E+037, 3.49199999999319E+040, 0.0004062575
2.30449000836576E+016, 1.41180706548867E+037, 3.48300000000373E+040, 0.0004053423
2.29448624883722E+016, 1.4049788786348E+037, 3.47399999999641E+040, 0.0004044269
2.28450214780392E+016, 1.3981665539848E+037, 3.46500000000207E+040, 0.0004035113
2.27453771047861E+016, 1.39137009314882E+037, 3.45600000000443E+040, 0.0004025955
2.26459294210175E+016, 1.38458949774556E+037, 3.44700000000028E+040, 0.0004016796
2.25466784794293E+016, 1.3778247694027E+037, 3.43800000000271E+040, 0.0004007635
2.24476243328497E+016, 1.37107590975223E+037, 3.42900000000061E+040, 0.0003998472
2.23487670344063E+016, 1.36434292043536E+037, 3.42000000000052E+040, 0.0003989307
2.22501066374255E+016, 1.35762580309956E+037, 3.41100000000068E+040, 0.000398014
2.21516431954412E+016, 1.35092455939885E+037, 3.40199999999295E+040, 0.0003970972
2.20533767623492E+016, 1.34423919099829E+037, 3.39300000000137E+040, 0.0003961801
2.19553073920875E+016, 1.33756969956464E+037, 3.38400000000087E+040, 0.0003952629
2.18574351389642E+016, 1.33091608677597E+037, 3.37499999999987E+040, 0.0003943455
2.17597600574854E+016, 1.3242783543166E+037, 3.36599999999619E+040, 0.0003934279
2.1662282202489E+016, 1.31765650388106E+037, 3.3570000000107E+040, 0.0003925101
2.15650016288241E+016, 1.31105053716466E+037, 3.34800000000534E+040, 0.0003915922
2.1467918391825E+016, 1.30446045587743E+037, 3.33900000000318E+040, 0.000390674
2.13710325469625E+016, 1.29788626173384E+037, 3.32999999999927E+040, 0.0003897556
