# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,epsilon[erg/cm^3],rho,n_b,mu
energia, pressao, rho, mu,,,,,
10763.685414811,5755.0509581219,4.5,3670.8303050962,,9.2206E+036,1.02587982887482E+016,4.5E+039,0.005881321
10727.002145156,5732.5442671914,4.49,3665.8232544204,,9.1846E+036,1.02186784698129E+016,4.49E+039,0.0058732988
10690.3689573596,5710.0774466876,4.48,3660.8139294748,,9.1486E+036,1.01786297228226E+016,4.48E+039,0.005865273
10653.785874195,5687.6505044161,4.47,3655.802321837,,9.1126E+036,1.01386520616914E+016,4.47E+039,0.0058572435
10617.2529185865,5665.2634482337,4.46,3650.7884230539,,9.0768E+036,1.00987455004245E+016,4.46E+039,0.0058492103
10580.7701134355,5642.916285991,4.45,3645.7722245902,,9.0410E+036,1.00589100530163E+016,4.45E+039,0.0058411735
10544.337481833,5620.6090256026,4.44,3640.7537178909,,9.0052E+036,1.00191457335751E+016,4.44E+039,0.005833133
10507.9550468469,5598.341674977,4.43,3635.7328943169,,8.9695E+036,9.97945255619838E+015,4.43E+039,0.0058250887
10471.6228317309,5576.1142420853,4.42,3630.7097452073,,8.9339E+036,9.93983053509519E+015,4.42E+039,0.0058170407
10435.3408597557,5553.9267349054,4.41,3625.6842618279,,8.8984E+036,9.90027968448673E+015,4.41E+039,0.005808989
10399.1091543362,5531.7791614647,4.4,3620.6564354093,,8.8629E+036,9.86080001868243E+015,4.4E+039,0.0058009336
10362.9277389392,5509.6715298087,4.39,3615.626257118,,8.8275E+036,9.82139155202398E+015,4.39E+039,0.0057928743
10326.7966370812,5487.6038480011,4.38,3610.5937180553,,8.7921E+036,9.78205429888551E+015,4.38E+039,0.0057848113
10290.715872518,5465.5761241857,4.37,3605.5588093144,,8.7568E+036,9.74278827378394E+015,4.37E+039,0.0057767445
10254.6854688803,5443.5883664669,4.36,3600.5215218686,,8.7216E+036,9.70359349116595E+015,4.36E+039,0.0057686739
10218.7054500629,5421.6405830373,4.35,3595.4818466897,,8.6864E+036,9.66446996563545E+015,4.35E+039,0.0057605994
10182.7758399994,5399.7327821039,4.34,3590.4397746782,,8.6513E+036,9.62541771182202E+015,4.34E+039,0.0057525211
10146.8966626587,5377.8649718871,4.33,3585.3952966619,,8.6163E+036,9.58643674437912E+015,4.33E+039,0.005744439
10111.0679421685,5356.0371606611,4.32,3580.3484034328,,8.5813E+036,9.54752707805612E+015,4.32E+039,0.0057363529
10075.2897027111,5334.2493567193,4.31,3575.2990857147,,8.5464E+036,9.5086887276366E+015,4.31E+039,0.005728263
10039.5619685884,5312.5015683967,4.3,3570.2473341826,,8.5116E+036,9.46992170797831E+015,4.3E+039,0.0057201692
10003.8847641966,5290.7938040604,4.29,3565.1931394538,,8.4768E+036,9.43122603399623E+015,4.29E+039,0.0057120715
9968.2581140088,5269.1260721047,4.28,3560.1364920826,,8.4421E+036,9.39260172065379E+015,4.28E+039,0.0057039699
9932.6820426067,5247.4983809614,4.27,3555.0773825686,,8.4074E+036,9.3540487829813E+015,4.27E+039,0.0056958643
9897.1565746684,5225.9107390954,4.26,3550.015801353,,8.3728E+036,9.31556723606807E+015,4.26E+039,0.0056877547
9861.6817349062,5204.3631549848,4.25,3544.9517387979,,8.3383E+036,9.27715709502692E+015,4.25E+039,0.0056796412
9826.2575482295,5182.855637174,4.24,3539.8851852367,,8.3039E+036,9.23881837508886E+015,4.24E+039,0.0056715237
9790.8840395917,5161.3881942239,4.23,3534.8161309257,,8.2695E+036,9.20055109151434E+015,4.23E+039,0.0056634022
9755.5612340188,5139.9608347206,4.22,3529.744566052,,8.2351E+036,9.1623552596087E+015,4.22E+039,0.0056552766
9720.289156711,5118.5735673097,4.21,3524.670480765,,8.2009E+036,9.12423089478334E+015,4.21E+039,0.005647147
9685.0678328864,5097.226400644,4.2,3519.5938651263,,8.1667E+036,9.08617801246253E+015,4.2E+039,0.0056390134
9649.8972879092,5075.9193434265,4.19,3514.5147091493,,8.1325E+036,9.04819662815998E+015,4.19E+039,0.0056308757
9614.7775472495,5054.6524043965,4.18,3509.4330027861,,8.0984E+036,9.01028675745415E+015,4.18E+039,0.0056227339
9579.7086364519,5033.4255923198,4.17,3504.3487359165,,8.0644E+036,8.97244841597071E+015,4.17E+039,0.005614588
9544.6905811592,5012.2389159962,4.16,3499.2618983547,,8.0305E+036,8.93468161939594E+015,4.16E+039,0.005606438
9509.7234071299,4991.0923842655,4.15,3494.1724798543,,7.9966E+036,8.89698638348744E+015,4.15E+039,0.0055982838
9474.8071402198,4969.9860060013,4.14,3489.0804701017,,7.9628E+036,8.85936272406304E+015,4.14E+039,0.0055901255
9439.9418064348,4948.9197901282,4.13,3483.985858732,,7.9290E+036,8.82181065703149E+015,4.13E+039,0.0055819631
9405.1274318018,4927.89374558,4.12,3478.8886352868,,7.8954E+036,8.78433019831795E+015,4.12E+039,0.0055737964
9370.3640425415,4906.9078813555,4.11,3473.7887892694,,7.8617E+036,8.74692136396343E+015,4.11E+039,0.0055656255
9335.6516648661,4885.9622064533,4.1,3468.6863100779,,7.8282E+036,8.70958417000859E+015,4.1E+039,0.0055574505
9300.9903251918,4865.0567299406,4.09,3463.5811870739,,7.7947E+036,8.67231863261639E+015,4.09E+039,0.0055492712
9266.3800500072,4844.1914609103,4.08,3458.4734095386,,7.7613E+036,8.63512476799556E+015,4.08E+039,0.0055410876
9231.8208659331,4823.3664085008,4.07,3453.3629666914,,7.7279E+036,8.598002592436E+015,4.07E+039,0.0055328998
9197.3127996529,4802.5815818731,4.06,3448.2498476665,,7.6946E+036,8.56095212226783E+015,4.06E+039,0.0055247076
9162.8558779731,4781.8369902307,4.05,3443.1340415318,,7.6614E+036,8.52397337389698E+015,4.05E+039,0.0055165112
9128.4501278381,4761.1326428242,4.04,3438.0155372927,,7.6282E+036,8.4870663638133E+015,4.04E+039,0.0055083105
9094.0955763008,4740.468548942,4.03,3432.8943238816,,7.5951E+036,8.45023110857407E+015,4.03E+039,0.0055001054
9059.7922505001,4719.8447179029,4.02,3427.77039015,,7.5620E+036,8.4134676247907E+015,4.02E+039,0.0054918959
9025.540177655,4699.2611590539,4.01,3422.6437248651,,7.5290E+036,8.37677592912492E+015,4.01E+039,0.0054836821
8991.3393851878,4678.7178818111,4,3417.5143167497,,7.4961E+036,8.34015603836161E+015,4E+039,0.0054754639
8957.1899005701,4658.2148956087,3.99,3412.3821544308,,7.4633E+036,8.30360796931792E+015,3.99E+039,0.0054672412
8923.0917513735,4637.7522099159,3.98,3407.2472264546,,7.4305E+036,8.26713173887338E+015,3.98E+039,0.0054590142
8889.0449653495,4617.3298342632,3.97,3402.109521313,,7.3978E+036,8.23072736401682E+015,3.97E+039,0.0054507826
8855.0495702909,4596.9477781967,3.96,3396.9690273959,,7.3651E+036,8.19439486176485E+015,3.96E+039,0.0054425467
8821.1055941962,4576.6060513325,3.95,3391.8257330453,,7.3325E+036,8.15813424925886E+015,3.95E+039,0.0054343062
8787.2130650687,4556.3046632902,3.94,3386.679626487,,7.3000E+036,8.12194554364651E+015,3.94E+039,0.0054260612
8753.3720111169,4536.043623759,3.93,3381.5306958972,,7.2675E+036,8.0858287621995E+015,3.93E+039,0.0054178117
8719.582460638,4515.8229424597,3.92,3376.3789293617,,7.2351E+036,8.04978392224585E+015,3.92E+039,0.0054095577
8685.8444420645,4495.6426291595,3.91,3371.2243148911,,7.2028E+036,8.01381104119632E+015,3.91E+039,0.0054012991
8652.1579839457,4475.5026936665,3.9,3366.0668404134,,7.1705E+036,7.97791013653456E+015,3.9E+039,0.0053930359
