# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg]
#energia, pressao, rho, mu
10763.685414811,5755.0509581219,4.5,3670.8303050962
10727.002145156,5732.5442671914,4.49,3665.8232544204
10690.3689573596,5710.0774466876,4.48,3660.8139294748
10653.785874195,5687.6505044161,4.47,3655.802321837
10617.2529185865,5665.2634482337,4.46,3650.7884230539
10580.7701134355,5642.916285991,4.45,3645.7722245902
10544.337481833,5620.6090256026,4.44,3640.7537178909
10507.9550468469,5598.341674977,4.43,3635.7328943169
10471.6228317309,5576.1142420853,4.42,3630.7097452073
10435.3408597557,5553.9267349054,4.41,3625.6842618279
10399.1091543362,5531.7791614647,4.4,3620.6564354093
10362.9277389392,5509.6715298087,4.39,3615.626257118
10326.7966370812,5487.6038480011,4.38,3610.5937180553
10290.715872518,5465.5761241857,4.37,3605.5588093144
10254.6854688803,5443.5883664669,4.36,3600.5215218686
10218.7054500629,5421.6405830373,4.35,3595.4818466897
10182.7758399994,5399.7327821039,4.34,3590.4397746782
10146.8966626587,5377.8649718871,4.33,3585.3952966619
10111.0679421685,5356.0371606611,4.32,3580.3484034328
10075.2897027111,5334.2493567193,4.31,3575.2990857147
10039.5619685884,5312.5015683967,4.3,3570.2473341826
10003.8847641966,5290.7938040604,4.29,3565.1931394538
9968.2581140088,5269.1260721047,4.28,3560.1364920826
9932.6820426067,5247.4983809614,4.27,3555.0773825686
9897.1565746684,5225.9107390954,4.26,3550.015801353
9861.6817349062,5204.3631549848,4.25,3544.9517387979
9826.2575482295,5182.855637174,4.24,3539.8851852367
9790.8840395917,5161.3881942239,4.23,3534.8161309257
9755.5612340188,5139.9608347206,4.22,3529.744566052
9720.289156711,5118.5735673097,4.21,3524.670480765
9685.0678328864,5097.226400644,4.2,3519.5938651263
9649.8972879092,5075.9193434265,4.19,3514.5147091493
9614.7775472495,5054.6524043965,4.18,3509.4330027861
9579.7086364519,5033.4255923198,4.17,3504.3487359165
9544.6905811592,5012.2389159962,4.16,3499.2618983547
9509.7234071299,4991.0923842655,4.15,3494.1724798543
9474.8071402198,4969.9860060013,4.14,3489.0804701017
