# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
7855.06437294, 2826.42991625, 4.5, 2373.6653976
7831.33833941, 2816.88046145, 4.49, 2371.5409356
7807.63356186, 2807.34205119, 4.48, 2369.41419934
7783.95006306, 2797.81469328, 4.47, 2367.28518039
7760.28786592, 2788.29839557, 4.46, 2365.15387029
7736.64699335, 2778.79316591, 4.45, 2363.02026051
7713.02746845, 2769.29901222, 4.44, 2360.88434249
7689.42931427, 2759.8159424, 4.43, 2358.7461076
7665.85255408, 2750.34396443, 4.42, 2356.60554717
7642.29721114, 2740.88308629, 4.41, 2354.46265248
7618.76330887, 2731.433316, 4.4, 2352.31741474
7595.25087074, 2721.99466161, 4.39, 2350.16982514
7571.75992026, 2712.56713118, 4.38, 2348.01987476
7548.29048118, 2703.15073285, 4.37, 2345.8675547
7524.84257715, 2693.74547473, 4.36, 2343.71285594
7501.41623205, 2684.35136502, 4.35, 2341.55576944
7478.01146981, 2674.96841192, 4.34, 2339.39628611
7454.62831441, 2665.59662364, 4.33, 2337.23439678
7431.26678998, 2656.23600847, 4.32, 2335.07009223
7407.92692069, 2646.8865747, 4.31, 2332.9033632
7384.60873085, 2637.54833066, 4.3, 2330.73420035
7361.31224485, 2628.22128472, 4.29, 2328.5625943
7338.03748717, 2618.90544527, 4.28, 2326.38853562
7314.78448239, 2609.60082075, 4.27, 2324.21201479
7291.55325519, 2600.30741961, 4.26, 2322.03302225
7268.34383027, 2591.02525035, 4.25, 2319.85154838
7245.15623256, 2581.7543215, 4.24, 2317.6675835
7221.99048699, 2572.49464163, 4.23, 2315.48111788
7198.84661861, 2563.24621931, 4.22, 2313.29214169
7175.7246526, 2554.0090632, 4.21, 2311.10064508
7152.62461419, 2544.78318195, 4.2, 2308.90661813
7129.54652874, 2535.56858426, 4.19, 2306.71005083
7106.49042172, 2526.36527886, 4.18, 2304.51093315
7083.45631867, 2517.17327454, 4.17, 2302.30925497
7060.44424525, 2507.99258008, 4.16, 2300.10500609
