# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
2.23798425649e+16, 1.21223345648e+37, 4.5e+39, 0.0071638546698
2.2300198421e+16, 1.2073463769e+37, 4.49e+39, 0.00715298241201
2.22206752615e+16, 1.20246853535e+37, 4.48e+39, 0.00714210651044
2.21412731269e+16, 1.19759993307e+37, 4.47e+39, 0.00713122695161
2.2061992058e+16, 1.19274057133e+37, 4.46e+39, 0.00712034372194
2.19828320958e+16, 1.18789045138e+37, 4.45e+39, 0.00710945680777
2.19037932814e+16, 1.18304957449e+37, 4.44e+39, 0.00709856619542
2.18248756558e+16, 1.17821794192e+37, 4.43e+39, 0.007087671871
2.17460792606e+16, 1.17339555495e+37, 4.42e+39, 0.00707677382067
2.16674041372e+16, 1.16858241487e+37, 4.41e+39, 0.00706587203043
2.15888503274e+16, 1.16377852296e+37, 4.4e+39, 0.00705496648623
2.1510417873e+16, 1.1589838805e+37, 4.39e+39, 0.0070440571739
2.14321068159e+16, 1.1541984888e+37, 4.38e+39, 0.00703314407921
2.13539171984e+16, 1.14942234914e+37, 4.37e+39, 0.00702222718786
2.12758490628e+16, 1.14465546284e+37, 4.36e+39, 0.00701130648541
2.11979024515e+16, 1.1398978312e+37, 4.35e+39, 0.00700038195739
2.11200774073e+16, 1.13514945555e+37, 4.34e+39, 0.00698945358921
2.10423739729e+16, 1.13041033718e+37, 4.33e+39, 0.00697852136619
2.09647921912e+16, 1.12568047745e+37, 4.32e+39, 0.00696758527358
2.08873321055e+16, 1.12095987766e+37, 4.31e+39, 0.0069566452965
2.08099937589e+16, 1.11624853916e+37, 4.3e+39, 0.00694570142002
2.07327771951e+16, 1.11154646329e+37, 4.29e+39, 0.00693475362911
2.06556824575e+16, 1.10685365138e+37, 4.28e+39, 0.00692380190863
2.05787095901e+16, 1.1021701048e+37, 4.27e+39, 0.00691284624335
2.05018586368e+16, 1.0974958249e+37, 4.26e+39, 0.00690188661797
2.04251296417e+16, 1.09283081304e+37, 4.25e+39, 0.00689092301705
2.03485226492e+16, 1.08817507059e+37, 4.24e+39, 0.0068799554251
2.02720377038e+16, 1.08352859891e+37, 4.23e+39, 0.00686898382649
2.019567485e+16, 1.07889139939e+37, 4.22e+39, 0.00685800820553
2.01194341329e+16, 1.0742634734e+37, 4.21e+39, 0.00684702854642
2.00433155972e+16, 1.06964482234e+37, 4.2e+39, 0.00683604483322
1.99673192884e+16, 1.0650354476e+37, 4.19e+39, 0.00682505704997
1.98914452517e+16, 1.06043535058e+37, 4.18e+39, 0.00681406518053
1.98156935327e+16, 1.05584453268e+37, 4.17e+39, 0.00680306920871
1.97400641772e+16, 1.05126299532e+37, 4.16e+39, 0.00679206911819
1.9664557231e+16, 1.04669073991e+37, 4.15e+39, 0.00678106489256
1.95891727402e+16, 1.04212776787e+37, 4.14e+39, 0.00677005651527
1.95139107511e+16, 1.03757408063e+37, 4.13e+39, 0.00675904396972
1.94387713102e+16, 1.03302967963e+37, 4.12e+39, 0.00674802723918
1.93637544643e+16, 1.0284945663e+37, 4.11e+39, 0.0067370063068
1.92888602599e+16, 1.02396874209e+37, 4.1e+39, 0.00672598115562
1.92140887443e+16, 1.01945220844e+37, 4.09e+39, 0.00671495176857
1.91394399647e+16, 1.01494496683e+37, 4.08e+39, 0.00670391812851
1.90649139684e+16, 1.0104470187e+37, 4.07e+39, 0.00669288021814
1.89905108031e+16, 1.00595836553e+37, 4.06e+39, 0.00668183802005
1.89162305166e+16, 1.0014790088e+37, 4.05e+39, 0.00667079151674
1.88420731569e+16, 9.97008949981e+36, 4.04e+39, 0.0066597406906
1.8768038772e+16, 9.92548190563e+36, 4.03e+39, 0.00664868552386
1.86941274106e+16, 9.88096732042e+36, 4.02e+39, 0.00663762599869
1.86203391211e+16, 9.83654575916e+36, 4.01e+39, 0.0066265620971
1.85466739524e+16, 9.79221723691e+36, 4e+39, 0.00661549380101
1.84731319535e+16, 9.74798176881e+36, 3.99e+39, 0.00660442109219
1.83997131734e+16, 9.70383937001e+36, 3.98e+39, 0.00659334395229
1.83264176617e+16, 9.6597900558e+36, 3.97e+39, 0.00658226236289
1.82532454679e+16, 9.61583384146e+36, 3.96e+39, 0.00657117630538
1.81801966419e+16, 9.5719707424e+36, 3.95e+39, 0.00656008576108
1.81072712337e+16, 9.52820077403e+36, 3.94e+39, 0.00654899071111
1.80344692935e+16, 9.48452395189e+36, 3.93e+39, 0.00653789113655
1.79617908717e+16, 9.44094029153e+36, 3.92e+39, 0.0065267870183
1.78892360191e+16, 9.39744980861e+36, 3.91e+39, 0.00651567833716
1.78168047866e+16, 9.35405251885e+36, 3.9e+39, 0.00650456507378
1.7744497225e+16, 9.31074843799e+36, 3.89e+39, 0.00649344720864
1.76723133859e+16, 9.2675375819e+36, 3.88e+39, 0.00648232472218
1.76002533207e+16, 9.2244199665e+36, 3.87e+39, 0.00647119759464
1.75283170812e+16, 9.18139560774e+36, 3.86e+39, 0.00646006580612
1.74565047193e+16, 9.13846452171e+36, 3.85e+39, 0.00644892933663
1.73848162873e+16, 9.0956267245e+36, 3.84e+39, 0.006437788166
1.73132518375e+16, 9.0528822323e+36, 3.83e+39, 0.00642664227393
1.72418114226e+16, 9.0102310614e+36, 3.82e+39, 0.00641549163999
1.71704950955e+16, 8.96767322811e+36, 3.81e+39, 0.0064043362436
1.70993029092e+16, 8.92520874883e+36, 3.8e+39, 0.00639317606404
1.70282349171e+16, 8.88283764006e+36, 3.79e+39, 0.00638201108044
1.69572911728e+16, 8.84055991832e+36, 3.78e+39, 0.00637084127179
1.68864717301e+16, 8.79837560027e+36, 3.77e+39, 0.00635966661695
1.6815776643e+16, 8.75628470257e+36, 3.76e+39, 0.00634848709458
1.67452059658e+16, 8.71428724202e+36, 3.75e+39, 0.00633730268324
1.66747597529e+16, 8.67238323544e+36, 3.74e+39, 0.0063261133613
1.66044380593e+16, 8.63057269978e+36, 3.73e+39, 0.00631491910704
1.65342409397e+16, 8.588855652e+36, 3.72e+39, 0.00630371989848
1.64641684496e+16, 8.5472321092e+36, 3.71e+39, 0.00629251571358
1.63942206443e+16, 8.50570208852e+36, 3.7e+39, 0.00628130653009
1.63243975797e+16, 8.46426560721e+36, 3.69e+39, 0.00627009232564
1.62546993117e+16, 8.42292268256e+36, 3.68e+39, 0.00625887307766
1.61851258965e+16, 8.38167333193e+36, 3.67e+39, 0.00624764876342
1.61156773906e+16, 8.34051757281e+36, 3.66e+39, 0.00623641936005
1.60463538509e+16, 8.29945542277e+36, 3.65e+39, 0.00622518484453
1.59771553343e+16, 8.25848689939e+36, 3.64e+39, 0.00621394519361
1.5908081898e+16, 8.21761202039e+36, 3.63e+39, 0.0062027003839
1.58391335997e+16, 8.17683080357e+36, 3.62e+39, 0.00619145039188
1.5770310497e+16, 8.13614326679e+36, 3.61e+39, 0.0061801951938
1.5701612648e+16, 8.09554942799e+36, 3.6e+39, 0.00616893476575
1.56330401111e+16, 8.05504930522e+36, 3.59e+39, 0.00615766908365
1.55645929449e+16, 8.01464291661e+36, 3.58e+39, 0.00614639812328
1.54962712082e+16, 7.97433028034e+36, 3.57e+39, 0.00613512186016
