# epsilon [erg/cm^3], pressure [erg/cm^3], baryonic_density [1/cm^3], chem_potential[erg]
3.229557e+40, 3.229538e+40, 4.000000e+42, 1.614774e-02
3.207936e+40, 3.207918e+40, 3.979899e+42, 1.612064e-02
3.186352e+40, 3.186334e+40, 3.959799e+42, 1.609346e-02
3.164805e+40, 3.164787e+40, 3.939698e+42, 1.606618e-02
3.143294e+40, 3.143276e+40, 3.919598e+42, 1.603881e-02
3.121820e+40, 3.121801e+40, 3.899497e+42, 1.601135e-02
3.100382e+40, 3.100364e+40, 3.879397e+42, 1.598379e-02
3.078982e+40, 3.078964e+40, 3.859296e+42, 1.595614e-02
3.057619e+40, 3.057601e+40, 3.839196e+42, 1.592839e-02
3.036293e+40, 3.036275e+40, 3.819095e+42, 1.590054e-02
3.015005e+40, 3.014986e+40, 3.798995e+42, 1.587259e-02
2.993753e+40, 2.993735e+40, 3.778894e+42, 1.584455e-02
2.972540e+40, 2.972522e+40, 3.758794e+42, 1.581641e-02
2.951364e+40, 2.951346e+40, 3.738693e+42, 1.578816e-02
2.930227e+40, 2.930209e+40, 3.718593e+42, 1.575982e-02
2.909127e+40, 2.909109e+40, 3.698492e+42, 1.573137e-02
2.888066e+40, 2.888047e+40, 3.678392e+42, 1.570282e-02
2.867043e+40, 2.867024e+40, 3.658291e+42, 1.567417e-02
2.846058e+40, 2.846040e+40, 3.638191e+42, 1.564541e-02
2.825112e+40, 2.825094e+40, 3.618090e+42, 1.561654e-02
2.804205e+40, 2.804186e+40, 3.597990e+42, 1.558757e-02
2.783336e+40, 2.783318e+40, 3.577889e+42, 1.555849e-02
2.762507e+40, 2.762489e+40, 3.557789e+42, 1.552930e-02
2.741717e+40, 2.741698e+40, 3.537688e+42, 1.549999e-02
2.720966e+40, 2.720948e+40, 3.517588e+42, 1.547058e-02
2.700255e+40, 2.700236e+40, 3.497487e+42, 1.544106e-02
2.679583e+40, 2.679565e+40, 3.477387e+42, 1.541142e-02
2.658951e+40, 2.658933e+40, 3.457286e+42, 1.538167e-02
2.638359e+40, 2.638341e+40, 3.437186e+42, 1.535180e-02
2.617807e+40, 2.617789e+40, 3.417085e+42, 1.532182e-02
2.597296e+40, 2.597277e+40, 3.396985e+42, 1.529172e-02
2.576824e+40, 2.576806e+40, 3.376884e+42, 1.526150e-02
2.556394e+40, 2.556376e+40, 3.356784e+42, 1.523115e-02
2.536004e+40, 2.535986e+40, 3.336683e+42, 1.520069e-02
2.515655e+40, 2.515637e+40, 3.316583e+42, 1.517011e-02
2.495347e+40, 2.495329e+40, 3.296482e+42, 1.513940e-02
2.475080e+40, 2.475062e+40, 3.276382e+42, 1.510856e-02
2.454855e+40, 2.454837e+40, 3.256281e+42, 1.507760e-02
2.434672e+40, 2.434653e+40, 3.236181e+42, 1.504652e-02
2.414530e+40, 2.414511e+40, 3.216080e+42, 1.501530e-02
2.394430e+40, 2.394411e+40, 3.195980e+42, 1.498395e-02
2.374372e+40, 2.374353e+40, 3.175879e+42, 1.495247e-02
2.354356e+40, 2.354338e+40, 3.155779e+42, 1.492086e-02
2.334383e+40, 2.334365e+40, 3.135678e+42, 1.488911e-02
2.314452e+40, 2.314434e+40, 3.115578e+42, 1.485723e-02
2.294564e+40, 2.294546e+40, 3.095477e+42, 1.482521e-02
2.274720e+40, 2.274701e+40, 3.075377e+42, 1.479305e-02
2.254918e+40, 2.254900e+40, 3.055276e+42, 1.476075e-02
2.235160e+40, 2.235142e+40, 3.035176e+42, 1.472831e-02
2.215445e+40, 2.215427e+40, 3.015075e+42, 1.469573e-02
2.195775e+40, 2.195756e+40, 2.994975e+42, 1.466300e-02
2.176148e+40, 2.176129e+40, 2.974874e+42, 1.463012e-02
2.156565e+40, 2.156547e+40, 2.954774e+42, 1.459710e-02
2.137027e+40, 2.137008e+40, 2.934673e+42, 1.456392e-02
2.117533e+40, 2.117514e+40, 2.914573e+42, 1.453059e-02
2.098084e+40, 2.098065e+40, 2.894472e+42, 1.449711e-02
2.078680e+40, 2.078661e+40, 2.874372e+42, 1.446348e-02
2.059321e+40, 2.059302e+40, 2.854271e+42, 1.442968e-02
2.040007e+40, 2.039989e+40, 2.834171e+42, 1.439573e-02
2.020739e+40, 2.020721e+40, 2.814070e+42, 1.436162e-02
2.001517e+40, 2.001499e+40, 2.793970e+42, 1.432734e-02
1.982341e+40, 1.982323e+40, 2.773869e+42, 1.429290e-02
1.963211e+40, 1.963193e+40, 2.753769e+42, 1.425829e-02
1.944128e+40, 1.944110e+40, 2.733668e+42, 1.422352e-02
1.925091e+40, 1.925073e+40, 2.713568e+42, 1.418857e-02
1.906102e+40, 1.906083e+40, 2.693467e+42, 1.415345e-02
1.887159e+40, 1.887141e+40, 2.673367e+42, 1.411815e-02
1.868264e+40, 1.868246e+40, 2.653266e+42, 1.408268e-02
1.849417e+40, 1.849398e+40, 2.633166e+42, 1.404703e-02
1.830617e+40, 1.830599e+40, 2.613065e+42, 1.401119e-02
1.811866e+40, 1.811848e+40, 2.592965e+42, 1.397517e-02
1.793163e+40, 1.793145e+40, 2.572864e+42, 1.393897e-02
